n,x
1,0.58800
2,0.67832
3,0.61097
4,0.66552
5,0.62329
6,0.65744
7,0.63060
8,0.65225
9,0.63510
10,0.64889
11,0.63793
12,0.64673
13,0.63971
14,0.64534
15,0.64085
16,0.64445
17,0.64157
18,0.64388
19,0.64204
20,0.64351
21,0.64233
22,0.64328
23,0.64252
24,0.64313
25,0.64264
26,0.64303
27,0.64272
28,0.64297
29,0.64277
30,0.64293
31,0.64280
32,0.64290
33,0.64282
34,0.64289
35,0.64283
36,0.64288
37,0.64284
38,0.64287
39,0.64285
40,0.64286
41,0.64285
42,0.64286
43,0.64285
44,0.64286
45,0.64285
46,0.64286
47,0.64286
48,0.64286
49,0.64286
50,0.64286
51,0.64286
52,0.64286
53,0.64286
54,0.64286
55,0.64286
56,0.64286
57,0.64286
58,0.64286
59,0.64286
60,0.64286
61,0.64286
62,0.64286
63,0.64286
64,0.64286
65,0.64286
66,0.64286
67,0.64286
68,0.64286
69,0.64286
70,0.64286
71,0.64286
72,0.64286
73,0.64286
74,0.64286
75,0.64286
76,0.64286
77,0.64286
78,0.64286
79,0.64286
80,0.64286
81,0.64286
82,0.64286
83,0.64286
84,0.64286
85,0.64286
86,0.64286
87,0.64286
88,0.64286
89,0.64286
90,0.64286
91,0.64286
92,0.64286
93,0.64286
94,0.64286
95,0.64286
96,0.64286
97,0.64286
98,0.64286
99,0.64286
100,0.64286
